Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message
0.362579750000266,1100,0,0,0,-0.03720703125,0.033203125,-0.994140625,-0.0028380355244,0.022108329985653,11.4930192470551,0.235855626687407,0,0,2.71102732602531,0,0,0,0,0.0951171875,
0.361383999999892,1160,0,0,0,-0.03994140625,0.03076171875,-0.9896484375,-0.006467402696088,0.049117255380201,11.4632169246674,0.577437783777714,3857,0,6.61932852299065,2.61219156277039,39.8124514361313,0.018811639462525,0.007485496455814,0.4447265625,
4.35409400000004,1220,0,0,0,-0.05537109375,0.01494140625,-0.99091796875,-0.010505359454548,0.078605050215208,11.3954579353333,1.19057667851448,4873,0,13.5642576768647,5.36129849071705,41.2499171471519,0.014666536420631,0.00605289574845,0.2755859375,
8.35930124999993,1280,0,0,0,-0.03212890625,0.04951171875,-1.00751953125,-0.014485015823093,0.107907291248207,11.2941219329834,2.05414350628853,5682,0,23.1994871927938,8.6184312807587,37.3347619188005,0.012525760419629,0.004673671312039,0.901171875,
12.3688077500001,1340,0,0,0,-0.01875,0.05205078125,-1.01767578125,-0.014841533859056,0.110917322094692,11.0891957759857,3.87795462608337,5780,0,43.0031164987435,8.9835313749803,21.0344428554158,0.012356740782933,0.002596366331757,1.09306640625,
16.3928362499999,1400,0,0,0,-0.04853515625,0.0908203125,-0.9986328125,-0.020462096894187,0.157211774748924,11.0742907524109,3.50644549131393,6842,0,38.8324852093924,14.6617779792447,37.8578788330724,0.01072355884607,0.004058869023097,0.9623046875,
20.3799365,1460,0,0,0,-0.0171875,0.02685546875,-0.98583984375,-0.022974271470733,0.176257484576758,10.8816469192505,5.31943466663361,7260,0,57.8834666613715,17.4682716670565,30.2469064772102,0.010101622528017,0.003053362533462,0.80224609375,
24.36485925,1520,0,0,0,-0.1361328125,0.0361328125,-0.87939453125,-0.020131277172901,0.152361386657102,10.6397141456604,7.33605012893677,6763,0,78.0564989531871,14.2572758362341,18.4382288152698,0.010695689644874,0.001970441941494,1.12236328125,
28.3645582500001,1580,0,0,0,-0.0751953125,-0.0080078125,-0.937109375,-0.026656810747986,0.202771744978479,10.6058815002441,7.11367237567902,7857,0,75.4516600524681,21.9334644462492,29.1799487711699,0.009245770347386,0.002697378255989,1.16455078125,
32.4024969999998,1640,0,0,0,-0.06044921875,0.02841796875,-1.00322265625,-0.029180817872172,0.22402219010043,10.491894197464,7.9513911485672,8247,0,83.4271604426912,25.2013092512927,30.2385153519943,0.008890038789842,0.002687759748363,2.15009765625,
36.3688102500001,1700,0,0,0,0.03642578125,0.05224609375,-1.040234375,-0.030777495715785,0.236435992467719,10.3589197158813,9.09663543701172,8448,0,94.2294358591082,27.2286608535298,28.9352198363706,0.008683585238283,0.002512568565307,0.98984375,
